document,count_sents,all_passives,passive_count,passive_sents_count,passive_percentages,binary,ID,Test,Cond,human_coding
The politics being discussed were causing scene.,1,['being discussed'],1,1,1.0,1,A3ATU3VULAB7K2,2.0,2,1
The world of politics is quite fascinating.,1,[],0,0,0.0,0,A1CTJ8UT7SF317,1.0,1,0
I don usually participate in discussions about politics.,1,[],0,0,0.0,0,A327Q0Y175MEH7,1.0,1,0
The president was impeached before his second term.,1,['was impeached'],1,1,1.0,1,A19TD2J8506A4Y,1.0,2,1
The President just gave speech about COVID relief.,1,[],0,0,0.0,0,A2DDXYTEVDV5F5,1.0,1,0
I wish the government was better.,1,[],0,0,0.0,0,AJ9O2ZA0E8UDZ,2.0,2,0
Sanders fights for the working class.,1,[],0,0,0.0,0,AYXXMHLZRAPF9,1.0,1,0
Politics is topic for the commoners.,1,[],0,0,0.0,0,A3M0L33TPD346S,1.0,1,0
The passage of the bill was interrupted by politics.,1,['was interrupted'],1,1,1.0,1,A33GB614ST7J82,1.0,2,1
The Democratic candidate won the election by landslide.,1,[],0,0,0.0,0, COPIEDAKHKMEPXX1YZ9,2.0,1,0
The House passed the bill with bipartisan support.,1,[],0,0,0.0,0,A23273YME4RCEB,1.0,1,0
Politics was the focus of her television viewing.,1,[],0,0,0.0,0,A3O4WYGKH31OX,1.0,2,0
"A dangerous game, politics sometimes is.",1,[],0,0,0.0,0,A3NLSGHK6RFXA8,1.0,2,0
Donald Trump destroyed the Republican Party.,1,[],0,0,0.0,0,AOJF7CPZVK5U3,1.0,1,0
An interesting election had occured.,1,[],0,0,0.0,0,A154ZJKRSX6847,1.0,2,1
Politics is believed to be unimportant by number of Americans.,1,['is believed'],1,1,1.0,1,A3FXVNZ5VG98IP,1.0,2,1
I am stunned at the impact politics is having on our country these days.,1,[],0,0,0.0,0,AYXN53TNFG71P,1.0,1,0
The president was elected last week. ,1,['was elected'],1,1,1.0,1,AMUKX1DM4ASA7,1.0,2,1
Politics is hot topic issue for many Americans.,1,[],0,0,0.0,0,AFE7E450NETF2,1.0,1,0
POLITICS DRIVE EVERYONE CRAZY.,1,[],0,0,0.0,0,A2DLZ9PK82J8L2,1.0,1,0
Politics is den of snakes. ,1,[],0,0,0.0,0,ARON01UO1YK7I,2.0,2,0
I was happy to vote. ,1,[],0,0,0.0,0,A3RNGN5WLE1OBU,1.0,1,0
The past President did not do so well.,1,[],0,0,0.0,0,A1ZZETG57T5D5X,2.0,2,0
Politics is very messy,1,[],0,0,0.0,0,A2Z75NJBZ46RE9,1.0,1,0
American politics was ruined by Donald Trump.,1,['was ruined'],1,1,1.0,1,A1CI5U3BLQ2DDS,1.0,2,1
 Politics is the art of the possible. ,1,[],0,0,0.0,0,A1CI5U3BLQ2DDS ,1.0,1,0
He voted for the Democratic candidate. ,1,[],0,0,0.0,0,ATSNZCC16HIOI,1.0,1,0
I want to see the best politics from the Democratic Party ,1,[],0,0,0.0,0,A1SWGSFIMZJQE,2.0,2,0
Politics can can cause discomfort in some people. ,1,[],0,0,0.0,0,A33UZLF8WW0DV1,2.0,2,0
The Trump regime is far from over.,1,[],0,0,0.0,0,A39GP79ULCP9J2,1.0,1,0
Politics is contentious.,1,[],0,0,0.0,0,A2X5BYJKVKSYQQ,1.0,1,0
I once voted in local election ,1,[],0,0,0.0,0,A12S5JDG2D5HEW,2.0,2,0
I vote because it is my right.,1,[],0,0,0.0,0,A1FAQI8VXLAMBM,2.0,1,0
The race was won by President Trump.,1,['was won'],1,1,1.0,1,A3P1QF00PF2DF9,1.0,2,1
I am watching this politician lie right now ,1,[],0,0,0.0,0,A16ZLWV0QUJP65,2.0,1,0
Joe Biden signed the stimulus bill.,1,[],0,0,0.0,0,AOJD8D9NXVAR3,1.0,1,0
Politics have become senseless.,1,[],0,0,0.0,0,A1ZLWV0QUJP65,2.0,2,1
Trump is the worst president of all time. ,1,[],0,0,0.0,0,AAL5LUI5U3NAV,1.0,1,0
I do not know much about my country politics. ,1,[],0,0,0.0,0,A1TK1M16KJJKEO,1.0,2,0
I went to the political rally,1,[],0,0,0.0,0,A79XOBCSS4NTG,1.0,1,0
Politics is difficult career.,1,[],0,0,0.0,0,A2O3IWIVOZD4S7,1.0,1,0
Politics are very controversial.,1,[],0,0,0.0,0,A2SVKAI2PNTS79,2.0,2,0
"The people voted for the President,",1,[],0,0,0.0,0,A2O3IWIVOZD4S7,1.0,1,0
The country was shown lot of problems with politics,1,['was shown'],1,1,1.0,1,A2VNR6984SDFGQ,1.0,2,1
The voters were important in deciding the election. ,1,[],0,0,0.0,0,A3CLBF224TRYC9,1.0,2,0
The man read about politics in his local newspaper.,1,[],0,0,0.0,0,A8TLS2F8LFQ68,1.0,1,0
Liberal politics are out of control. ,1,[],0,0,0.0,0,AIJPLVW0ULYTH,2.0,1,0
Most politicians seem to only be in it for themselves.,1,[],0,0,0.0,0,A3CX0LXFHZ6I3I,1.0,2,0
Getting involved in politics is easy.,1,[],0,0,0.0,0,A2LEBJWW395FST,1.0,1,0
The ballots were clearly marked on Election Day.,1,['were clearly marked'],1,1,1.0,1,AFTSLCMJASJDR,1.0,2,1
He had no interest in politics,1,[],0,0,0.0,0,AA0EJ752F121Q,2.0,2,0
Politics often threatens family gatherings that would otherwise be fun.,1,[],0,0,0.0,0,A2VN0R4EGGV7KE,2.0,1,0
I went and voted today.,1,[],0,0,0.0,0,AJKA9BKC011F2,2.0,1,0
The politics pay big role.,1,[],0,0,0.0,0,A2X823PACMMOKP,1.0,1,0
The mayor in the politicians office was corrupted. ,1,['was corrupted'],1,1,1.0,1,ALG1XBLARJ545,1.0,2,1
The Republicans were defeated by the Democrats in the last US Presidential election.,1,['were defeated'],1,1,1.0,1,A2SKOPFTRTNFUY,1.0,2,1
Citizens were impacted by the president choices.,1,['were impacted'],1,1,1.0,1,A347NXF6NQGM5G,1.0,2,1
A person politics make up their personality.,1,[],0,0,0.0,0,AFRKVRPZ2RHY8,1.0,2,0
I am campaigning for cause that supports Republican Politics.,1,[],0,0,0.0,0,A2OZKKX2O0YTLD,2.0,1,0
Trump yelled at the heckler ,1,[],0,0,0.0,0,A240OTT1T85UGT,1.0,1,0
The family would have heated political arguments after dinner. ,1,[],0,0,0.0,0,A55E4CZQLYYO3,2.0,2,0
The debate tonight was heated ,1,[],0,0,0.0,0,A3QNSOORS63W0D,2.0,1,0
Politics requires suffering.,1,[],0,0,0.0,0,A63XZD0XGIMAI,1.0,1,0
There were not enough votes to elect him.,1,[],0,0,0.0,0,A2ONKY3JGB34T3,1.0,2,1
Joe Biden toured the country when he ran for President.,1,[],0,0,0.0,0,AOJD8D9NXVAR3,1.0,1,0
Politics ruins society.,1,[],0,0,0.0,0,A33B85TN97HQ33,1.0,1,0
Donald Trump got beat by Joe Biden in the 2020 Elections.,1,['got beat'],1,1,1.0,1,A3J72C0SIACZBS,1.0,2,1
An error was made in the tabulation of votes.,1,['was made'],1,1,1.0,1,AW3PWVBIGPNAA,1.0,2,1
Politics are very complicated.,1,[],0,0,0.0,0,AC95JAUAM2L2Z,1.0,1,0
Abortion is sensitive topic for many people.,1,[],0,0,0.0,0,AFE7E450NETF2,1.0,2,0
I am into politics,1,[],0,0,0.0,0,AXR1QGU4KTMSZ,1.0,1,0
The politician was impeached for extreme corruption.,1,['was impeached'],1,1,1.0,1,COPIEDAKHKMEPXX1YZ9,2.0,2,1
I don want to write anything about politics ,1,[],0,0,0.0,0,AOZBPO12UMPUY,1.0,1,0
Politics is in every workplace .,1,[],0,0,0.0,0,A1JSPB0XCFUUG1,2.0,1,0
The president was elected that night.,1,['was elected'],1,1,1.0,1,A2VAG94W4SK18C,1.0,2,1
Politics can be stressful to be involved in. ,1,[],0,0,0.0,0,A2GIT09BQEUM9M,,1,0
Politics are product of systems.,1,[],0,0,0.0,0,A162CO8K267FU8,1.0,2,0
I do not like Donal Trump.,1,[],0,0,0.0,0,A3S9ASZKIIJ3WF,2.0,1,0
Politics help society function.,1,[],0,0,0.0,0,A3JUAN2Y9XTK5L,2.0,1,0
I wish there had been different candidates running for President in the election.,1,[],0,0,0.0,0,A23FK9ROU01U4D,2.0,2,1
The nation is arguing over politics,1,[],0,0,0.0,0,A79XOBCSS4NTG,1.0,2,0
The president did not want to concede the ellection.,1,[],0,0,0.0,0,AU34Y1DWWQ47O,1.0,1,0
i liked politics,1,[],0,0,0.0,0,A2TWX0MB777CAB,2.0,2,0
Politics are slipper slope.,1,[],0,0,0.0,0,A1HYNGG8LZUV47,2.0,1,0
Politics never interested me growing up.,1,[],0,0,0.0,0,AQDBBBTN8NE9X,2.0,2,1
Politics would have to be considered.,1,['be considered'],1,1,1.0,1,A36G7I51D5O1M4,2.0,2,1
The President signed the bill into law today.,1,[],0,0,0.0,0,COPIEDAPV3GK8ZEXB0J,1.0,1,0
I avoid talking about politics.,1,[],0,0,0.0,0,A38LW34F26WBJY,1.0,1,0
My favorite candidate is Joe Biden,1,[],0,0,0.0,0,A35TZ4YGDSXSEC,1.0,1,0
The American people were misled by the government message.,1,['were misled'],1,1,1.0,1,A37CSK5QI41636,1.0,2,1
I feel like all they talk about is the politics on the news. ,1,[],0,0,0.0,0,ACIWLS3IQPV1J,2.0,1,0
