docId,sentenceId,sentence,binary,passive_match(es),raw_passive_count,cola_passive_binary
1,1,the sailors rode the breeze clear of the rocks.,0,,0,0
2,1,the weights made the rope stretch over the pulley.,0,,0,0
3,1,the mechanical doll wriggled itself loose.,0,,0,0
4,1,"if you had eaten more, you would want less.",0,,0,0
5,1,"as you eat the most, you want the least.",0,,0,0
6,1,"the more you would want, the less you would eat.",0,,0,0
7,1,"i demand that the more john eat, the more he pays.",0,,0,0
8,1,"mary listens to the grateful dead, she gets depressed.",0,,0,0
9,1,"the angrier mary got, the more she looked at pictures.",0,,0,0
10,1,"the higher the stakes, the lower his expectations are.",0,,0,0
11,1,"the more fred is obnoxious, the less attention you should pay to him.",0,,0,0
12,1,john was lots more obnoxious than fred.,0,,0,0
13,1,"the more people you give beer to, the more people get sick.",0,,0,0
14,1,"the more does bill smoke, the more susan hates him.",0,,0,0
15,1,"the more pictures of him that appear in the news, the more embarrassed john becomes.",0,,0,0
16,1,"every senator seems to become more corrupt, as he talks to more lobbyists.",0,,0,0
17,1,who does john visit sally because he likes?,0,,0,0
18,1,marianne did not leave.,0,,0,0
19,1,he could not have been working.,0,,0,0
20,1,he can not have been working.,0,,0,0
21,1,you will believe bob.,0,,0,0
22,1,john has not kissed mary.,0,,0,0
23,1,i said that never in my life had i seen a place like bangor.,0,,0,0
24,1,mickey looked up it.,0,,0,0
25,1,there tended to be a lot of discussion.,0,,0,0
26,1,john tried to be a good boy.,0,,0,0
27,1,john is eager.,0,,0,0
28,1,we want john to win.,0,,0,0
29,1,the box contained the ball from the tree.,0,,0,0
30,1,the tube was escaped by gas.,1,['was escaped'],1,1
31,1,water bubbled up out of the kettle.,0,,0,0
32,1,the tub leaked water.,0,,0,0
33,1,what the water did to the bottle was fill it.,0,,0,0
34,1,what the water did to the whole bottle was fill it.,0,,0,0
35,1,the tank leaked the fluid free.,0,,0,0
36,1,john lay the ball in the box.,0,,0,0
37,1,john owns the book.,0,,0,0
38,1,we persuaded mary to leave and sue to stay.,0,,0,0
39,1,"most people probably consider, even though the courts didn't actually find, klaus guilty of murder.",0,,0,0
40,1,mary beautifully plays the violin.,0,,0,0
41,1,"clearly, john probably will immediately learn french perfectly.",0,,0,0
42,1,sue gave to bill a book.,0,,0,0
43,1,the men will all leave.,0,,0,0
44,1,john went home.,0,,0,0
45,1,they represented seriously to the dean mary as a genuine linguist.,0,,0,0
46,1,us love they.,0,,0,0
47,1,it is nice to go abroad.,0,,0,0
48,1,mary intended john to go abroad.,0,,0,0
49,1,i remembered having kissed mary.,0,,0,0
50,1,"i can't believe fred won't, either.",0,,0,0
51,1,"john wants to read fred's story, and i also want to.",0,,0,0
52,1,"we wanted to invite someone, but we couldn't decide who to.",0,,0,0
53,1,"mary will read fred's story, and joe will read holly's.",0,,0,0
54,1,"mary claimed that eating cabbage, holly shouldn't.",0,,0,0
55,1,mary came to be introduced by the bartender and i also came to be.,1,['introduced by the bartender'],2,0
56,1,"if i can, i will work on it.",0,,0,0
57,1,"joe's neuroses bother his patrons, and sally does too.",0,,0,0
58,1,"i know which book josã© didn't read for class, and which book lilly did it for him.",0,,0,0
59,1,"this is the book which bob reviewed, and this is the one which fred won't do it.",0,,0,0
60,1,"i know which book mag read, and which book bob said that you hadn't.",0,,0,0
61,1,"i know which book mag read, and which book bob read my report that you hadn't.",0,,0,0
62,1,i'm sure i would like him to eat fruit more than i would cookies.,0,,0,0
63,1,rusty talked about himself only after mary did talk about him.,0,,0,0
64,1,fred talked about everything before rusty did talk about something.,0,,0,0
65,1,john often meets mary.,0,,0,0
66,1,the problem perceives easily.,0,,0,0
67,1,a hundred men surrounded the fort.,0,,0,0
68,1,we elected me.,0,,0,0
69,1,which report that john was incompetent did he submit?,0,,0,0
70,1,Not a Sentence,0,,0,0
70,2,has always preferred lemons to limes.,0,,0,0
71,1,he let the cats which were whining out.,0,,0,0
72,1,what did bill buy?,0,,0,0
73,1,mary saw the boy walking toward the railroad station.,0,,0,0
74,1,a proof that the claim had been made was given that john had lied.,1,"['had been made', 'was given']",2,1
75,1,he attributed to a short circuit which was caused by an overloaded transducer the fire which destroyed most of my factory.,1,['was caused'],1,1
76,1,the mayor regarded as being absurd the proposal to build a sidewalk from dartmouth to smith.,0,,0,0
77,1,i want that bill left to remain a secret.,0,,0,0
78,1,i know a man who tom drives as drives.,0,,0,0
79,1,"drowning cats, which is against the law, are hard to rescue.",0,,0,0
80,1,muriel said nothing else than that she had been insulted.,1,['had been insulted'],1,1
81,1,himself is understood by rutherford.,1,['is understood'],1,1
82,1,i feel that arch will show up.,0,,0,0
83,1,the proof this set is recursive is difficult.,0,,0,0
84,1,the madrigals which henry plays the lute and sings sound lousy.,0,,0,0
85,1,"tom picked these grapes, and i washed some turnips, and suzie will prepare these grapes.",0,,0,0
86,1,where did you go and who ate what?,0,,0,0
87,1,which boy's did we elect guardian's employer president?,0,,0,0
88,1,how sane is peter?,0,,0,0
89,1,i live at the place where route 150 crosses the river and my dad lives at the place where route 150 crosses the hudson river too.,0,,0,0
90,1,i live at the place where route 150 crosses the hudson river and my dad lives at it too.,0,,0,0
91,1,who is she trying to make up to now?,0,,0,0
92,1,wind was gotten of a plot to negotiate an honorable end to the war in vietnam.,1,['was gotten'],1,1
93,1,mike talked about politics yesterday to my friends.,0,,0,0
94,1,it was expected by the reporters that the principal would fire some teacher.,1,['was expected'],1,1
95,1,which hat did mike quip that she never wore?,0,,0,0
96,1,which girl did mike quip never wore this hat?,0,,0,0
97,1,we donated wire for the convicts to build cages with.,0,,0,0
98,1,i won't have some money.,0,,0,0
99,1,do you believe the claim that somebody was looking for something?,0,,0,0
100,1,i won't ask you to believe that he tried to force me to give her any money.,0,,0,0
101,1,that sam sometimes didn't sleep must have pleased somebody.,0,,0,0
102,1,i talked to winston about himself.,0,,0,0
103,1,"that the fuzz wanted him worried john, but that the fuzz wanted her didn't worry mary.",0,,0,0
104,1,i'll work on it if sam will be working on it.,0,,0,0
105,1,i'll work on it if i can.,0,,0,0
106,1,here's a knife with which for you to cut up the onions.,0,,0,0
107,1,"fluffy is sick, which not everybody knows.",0,,0,0
108,1,maxwell is quite a doctor.,0,,0,0
109,1,"the younger woman might have been tall and, and the older one definitely was, blond.",0,,0,0
110,1,"sally is tall, and may be blond, and sheila is short, and definitely is, blond.",0,,0,0
111,1,i have to try to finish grading some papers.,0,,0,0
112,1,the socks are ready for for you to put on to be planned.,1,['be planned'],1,0
113,1,it is easy to play sonatas on this violin.,0,,0,0
114,1,this violin is difficult to play sonatas on.,0,,0,0
115,1,my mother is easy to please my father and.,0,,0,0
116,1,"poor bill, it had started to rain and he had no umbrella.",0,,0,0
117,1,"that the cops spoke to the janitor about it yesterday is terrible, that robbery.",0,,0,0
118,1,"every student, and he wears socks, is a swinger.",0,,0,0
119,1,that girl was given my binoculars by him.,1,['was given'],1,1
120,1,bill didn't allege that roger had eaten anything.,0,,0,0
121,1,nobody who hates to eat anything should work in a delicatessen.,0,,0,0
122,1,everybody around here who ever buys anything on credit talks in his sleep.,0,,0,0
123,1,i can't remember the name of somebody who had misgivings.,0,,0,0
124,1,"no writer, and no playwright, meets in vienna.",0,,0,0
125,1,"no writer, nor any playwright, meets in vienna.",0,,0,0
126,1,that you will marry any student is not certain.,0,,0,0
127,1,felicia kicked the ball off the bench.,0,,0,0
128,1,i sent the package halfway around the world.,0,,0,0
129,1,sam gave the ball out of the basket.,0,,0,0
130,1,sam offered the ball out of the basket.,0,,0,0
131,1,park square has a festive air.,0,,0,0
132,1,the worker will have a job.,0,,0,0
133,1,no one can forgive that comment to you.,0,,0,0
134,1,"we launched the rocket to the moon, but it blew up before it got there.",0,,0,0
135,1,"sarah promised catherine her old car, but then gave it to her son instead.",0,,0,0
136,1,i lent the book partway to tony.,0,,0,0
137,1,the farmer loaded the cart with apples.,0,,0,0
138,1,the farmer dumped the cart with apples.,0,,0,0
139,1,martha carved the baby a toy out of wood.,0,,0,0
140,1,the bread cuts easily.,0,,0,0
141,1,janet broke bill on the finger.,0,,0,0
142,1,janet broke the cup.,0,,0,0
143,1,the visitor rang the bell.,0,,0,0
144,1,we pulled free.,0,,0,0
145,1,that movie always shocks people.,0,,0,0
146,1,that movie always shocks.,0,,0,0
147,1,sharon came the room.,0,,0,0
148,1,bill sent a package to tom.,0,,0,0
149,1,that acorn will grow into an oak tree.,0,,0,0
150,1,he turned into a frog.,0,,0,0
151,1,i mixed the sugar into the butter.,0,,0,0
152,1,brian threw the fence with the stick.,0,,0,0
153,1,mira condemned terry for the accident.,0,,0,0
154,1,we investigated the area for bombs.,0,,0,0
155,1,i sensed his eagerness.,0,,0,0
156,1,they praised the dedication in the volunteers.,0,,0,0
157,1,the earth was believed to be round.,1,['was believed'],1,1
158,1,sarah smiled a charming smile.,0,,0,0
159,1,sandra beamed a cheerful welcome.,0,,0,0
160,1,you've really lived it up.,0,,0,0
161,1,paperback books lift onto the table easily.,0,,0,0
162,1,the books lifted onto the table.,0,,0,0
163,1,jessica loaded boxes under the wagon.,0,,0,0
164,1,jessica loaded boxes on the wagon.,0,,0,0
165,1,jessica crammed boxes at the truck.,0,,0,0
166,1,lora buttered at the toast.,0,,0,0
167,1,carla shoveled the walk.,0,,0,0
168,1,nora sent the book.,0,,0,0
169,1,nora sent peter the book.,0,,0,0
170,1,carla slid the book.,0,,0,0
171,1,carla slid at the book.,0,,0,0
172,1,amanda carried the package to pamela.,0,,0,0
173,1,packages drive easily to new york.,0,,0,0
174,1,the chair pushed.,0,,0,0
175,1,we offered a job to her.,0,,0,0
176,1,a job offered.,0,,0,0
177,1,brown presented a plaque to jones.,0,,0,0
178,1,carmen bought mary a dress.,0,,0,0
179,1,carmen obtained the spare part at the hardware store.,0,,0,0
180,1,michelle kept the desk with the papers.,0,,0,0
181,1,frances hid the presents in the drawer.,0,,0,0
182,1,the needle poked the cloth.,0,,0,0
183,1,carrie touched that cat.,0,,0,0
184,1,herman whipped the sugar and the cream.,0,,0,0
185,1,linda taped the picture to the wall.,0,,0,0
186,1,linda taped the picture onto the wall.,0,,0,0
187,1,the child and her mother clung together.,0,,0,0
188,1,this flyer and that flyer differ.,0,,0,0
189,1,this flyer and that flyer differ apart.,0,,0,0
190,1,the jeweller scribbled the contract with his name.,0,,0,0
191,1,the gardener grew that acorn into an oak tree.,0,,0,0
192,1,i shaped a loaf.,0,,0,0
193,1,the children amused.,0,,0,0
194,1,susan whispered the news.,0,,0,0
195,1,susan whispered at rachel.,0,,0,0
196,1,ellen said that melons were selling well.,0,,0,0
197,1,ellen said about the present conditions.,0,,0,0
198,1,ellen warned helen against skating on thin ice.,0,,0,0
199,1,cynthia nibbled on the carrot .,0,,0,0
200,1,cynthia chewed.,0,,0,0
201,1,paul laughed at mary.,0,,0,0
202,1,linda winked her lip.,0,,0,0
203,1,my heart is pounding me.,0,,0,0
204,1,sharon fainted from hunger.,0,,0,0
205,1,the witch poisoned the children.,0,,0,0
206,1,a grandfather clock ticked in the hallway.,0,,0,0
207,1,i squeaked the door.,0,,0,0
208,1,over the fire there bubbled a fragrant stew.,0,,0,0
209,1,soaring temperatures are predicted for this weekend.,1,['are predicted'],1,1
210,1,the fort fluttered with many flags.,0,,0,0
211,1,the voices echoed in the hall.,0,,0,0
212,1,the stream twists through the valley.,0,,0,0
213,1,there presented itself a wonderful opportunity yesterday.,0,,0,0
214,1,a wonderful opportunity presented itself to him yesterday.,0,,0,0
215,1,out of the box jumped a little white rabbit.,0,,0,0
216,1,penny skated around the rink.,0,,0,0
217,1,jackie accompanied rose.,0,,0,0
218,1,many information was provided.,1,['was provided'],1,1
219,1,john offers many advice.,0,,0,0
220,1,the cake that jones got was more delicious than the one that smith got.,0,,0,0
221,1,we recommend to eat less cake and pastry.,0,,0,0
222,1,i saw that gas can explode.,0,,0,0
223,1,he washed her.,0,,0,0
224,1,wash you!,0,,0,0
225,1,they have no in.,0,,0,0
226,1,some my jobs are in jeopardy.,0,,0,0
227,1,it was the policeman met that several young students in the park last night.,0,,0,0
228,1,did the policeman meet in the park?,0,,0,0
229,1,john put old books in the box.,0,,0,0
230,1,the monkeys proud of their leader.,0,,0,0
231,1,john sounded very.,0,,0,0
232,1,i don't know if i should agree.,0,,0,0
233,1,john bought a book on the table.,0,,0,0
234,1,john called the president a fool.,0,,0,0
235,1,i forgot how good beer tastes.,0,,0,0
236,1,this teacher is a genius.,0,,0,0
237,1,a good friend is remained to me by him.,1,['is remained'],1,1
238,1,john ate his noodle quietly.,0,,0,0
239,1,a smith hammered the metal.,0,,0,0
240,1,sandy removed her ballet shoes.,0,,0,0
241,1,this week will be a difficult one for us.,0,,0,0
242,1,benny worked in a shoe factory when he was a student.,0,,0,0
243,1,everyone hoped that she would sing.,0,,0,0
244,1,this proved a decisive factor.,0,,0,0
245,1,the crocodile devoured the doughnut.,0,,0,0
246,1,john is afraid of bill.,0,,0,0
247,1,john put under the bathtub.,0,,0,0
248,1,john placed kim behind the garage.,0,,0,0
249,1,kim depends for sandy.,0,,0,0
250,1,john put the book in the box.,0,,0,0
251,1,john taught english syntax to new students.,0,,0,0
252,1,john regards bill as a good friend.,0,,0,0
253,1,kim put in the box.,0,,0,0
254,1,the chickens seem fond of the farmer.,0,,0,0
255,1,the rules require that the executives be polite.,0,,0,0
256,1,that fred was unpopular nominated bill.,0,,0,0
257,1,they were taking a hard look at possible fta.,0,,0,0
258,1,john paid me against the book.,0,,0,0
259,1,the committee will study the feasibility of setting up a national computer network.,0,,0,0
260,1,we made them be rude.,0,,0,0
261,1,"after reading the pamphlet, judy threw it into the garbage can.",0,,0,0
262,1,students studying english reads conrad's heart of darkness while at university.,0,,0,0
263,1,i read some of the book.,0,,0,0
264,1,most of the fruit is rotten.,0,,0,0
265,1,neither of students failed.,0,,0,0
266,1,i drank some of water.,0,,0,0
267,1,it is a golden hair.,0,,0,0
268,1,the boy in the doorway waved to his father.,0,,0,0
269,1,"that dog is so ferocious, it even tried to bite itself.",0,,0,0
270,1,he washed yourself.,0,,0,0
271,1,john is easy to please kim.,0,,0,0
272,1,there seemed to be intelligent.,0,,0,0
273,1,john tried to please stephen.,0,,0,0
274,1,we believed john to be a fountain in the park.,0,,0,0
275,1,it tries to leave the country.,0,,0,0
276,1,john tries to leave the country.,0,,0,0
277,1,under the bed seems to be a fun place to hide.,0,,0,0
278,1,there is believed to be sheep in the park.,1,['is believed'],1,0
279,1,i hope to would study in france.,0,,0,0
280,1,john can kick the ball.,0,,0,0
281,1,john will rain tomorrow.,0,,0,0
282,1,we expect there to will rain.,0,,0,0
283,1,john was found in the office.,1,['was found'],1,1
284,1,did the child be in the school?,0,,0,0
285,1,it did not rain.,0,,0,0
286,1,john wants not to leave the town.,0,,0,0
287,1,"mary likes to tour art galleries, but bill hates to.",0,,0,0
288,1,they needn't take this exam.,0,,0,0
289,1,ann may spend her vacation in italy.,0,,0,0
290,1,"they love to play golf, but i do not.",0,,0,0
291,1,"george has spent a lot of money, hasn't he?",0,,0,0
292,1,"as a statesman, scarcely could he do anything worth mentioning.",0,,0,0
293,1,we never found any of the unicorns.,0,,0,0
294,1,one of korea's most famous poets wrote these lines.,0,,0,0
295,1,somebody apparently struck the unidentified victim during the early morning hours.,0,,0,0
296,1,the car was driven.,1,['was driven'],1,1
297,1,ricky can be relied on.,1,['can be relied'],1,1
298,1,the bed was slept in.,1,['was slept'],1,1
299,1,a pound was weighed by the book.,1,['was weighed'],1,1
300,1,who do you think tom saw?,0,,0,0
301,1,he had spent five thousand dollars.,0,,0,0
302,1,fed knows which politician her to vote for.,0,,0,0
303,1,how did you guess that he fixed the computer?,0,,0,0
304,1,the committee knows whose efforts to achieve peace the world should honor.,0,,0,0
305,1,which house does your friend live?,0,,0,0
306,1,the baker from whom i bought these bagels left.,0,,0,0
307,1,i found the place where we can relax.,0,,0,0
308,1,jack is the person with whom jenny fell in love with.,0,,0,0
309,1,there is a bench to sit on.,0,,0,0
310,1,i met the man who grows peaches.,0,,0,0
311,1,which topic did you choose without getting his approval?,0,,0,0
312,1,which topic did you get bored because mary talked about?,0,,0,0
313,1,that is the reason why he resigned.,0,,0,0
314,1,it bothers me that john coughs.,0,,0,0
315,1,to please john is easy.,0,,0,0
316,1,kim is eager to please tom.,0,,0,0
317,1,that we invaded iraq really bites.,0,,0,0
318,1,it annoys me that fido barks.,0,,0,0
319,1,who achieved the best result was angela.,0,,0,0
320,1,it was the peasant girl who got it.,0,,0,0
321,1,that kind of person is hard to find anyone to look after.,0,,0,0
322,1,a sick owl doesn't hunt mice.,0,,0,0
323,1,each candidate who has interest in semantics will be admitted to the department.,1,['will be admitted'],1,0
324,1,each author whose contribution is written in any language other than english will provide a summary in english.,1,['is written'],1,1
325,1,i'm sure we even got these tickets!,0,,0,0
326,1,i'm even sure we got these tickets!,0,,0,0
327,1,it's not because i have any sympathy for urban guerillas that i helped him.,0,,0,0
328,1,it isn't because sue said anything bad about me that i'm angry.,0,,0,0
329,1,"that he was hungry, john whined.",0,,0,0
330,1,1 gave mary after the party a book.,0,,0,0
