url,title,abstract_text
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0092269,Plasticity of Attentional Functions in Older Adults after Non-Action Video Game Training: A Randomized Controlled Trial," A major goal of recent research in aging has been to examine cognitive plasticity in older adults and its capacity to counteract cognitive decline. The aim of the present study was to investigate whether older adults could benefit from brain training with video games in a cross-modal oddball task designed to assess distraction and alertness. Twenty-seven healthy older adults participated in the study (15 in the experimental group, 12 in the control group. The experimental group received 20 1-hr video game training sessions using a commercially available brain-training package (Lumosity) involving problem solving, mental calculation, working memory and attention tasks. The control group did not practice this package and, instead, attended meetings with the other members of the study several times along the course of the study. Both groups were evaluated before and after the intervention using a cross-modal oddball task measuring alertness and distraction. The results showed a significant reduction of distraction and an increase of alertness in the experimental group and no variation in the control group. These results suggest neurocognitive plasticity in the old human brain as training enhanced cognitive performance on attentional functions. Trial Registration ClinicalTrials.gov NCT02007616"
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0037379,How Reliable Is Ki-67 Immunohistochemistry in Grade 2 Breast Carcinomas? A QA Study of the Swiss Working Group of Breast- and Gynecopathologists," Adjuvant chemotherapy decisions in breast cancer are increasingly based on the pathologist assessment of tumor proliferation. The Swiss Working Group of Gyneco- and Breast Pathologists has surveyed inter- and intraobserver consistency of Ki-67-based proliferative fraction in breast carcinomas. Methods Five pathologists evaluated MIB-1-labeling index (LI) in ten breast carcinomas (G1, G2, G3) by counting and eyeballing. In the same way, 15 pathologists all over Switzerland then assessed MIB-1-LI on three G2 carcinomas, in self-selected or pre-defined areas of the tumors, comparing centrally immunostained slides with slides immunostained in the different laboratoires. To study intra-observer variability, the same tumors were re-examined 4 months later. The Kappa values for the first series of ten carcinomas of various degrees of differentiation showed good to very good agreement for MIB-1-LI (Kappa 0.56 0.72). However, we found very high inter-observer variabilities (Kappa 0.04 0.14) in the read-outs of the G2 carcinomas. It was not possible to explain the inconsistencies exclusively by any of the following factors pathologists divergent definitions of what counts as a positive nucleus the mode of assessment (counting vs. eyeballing), immunostaining technique, and the selection of the tumor area in which to count. Despite intensive confrontation of all participating pathologists with the problem, inter-observer agreement did not improve when the same slides were re-examined 4 months later (Kappa 0.01 0.04) and intra-observer agreement was likewise poor (Kappa 0.00 0.35). Assessment of mid-range Ki-67-LI suffers from high inter- and intra-observer variability. Oncologists should be aware of this caveat when using Ki-67-LI as a basis for treatment decisions in moderately differentiated breast carcinomas."
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0062982,"Age-Specific Signatures of Glioblastoma at the Genomic, Genetic, and Epigenetic Levels"," Age is a powerful predictor of survival in glioblastoma multiforme (GBM) yet the biological basis for the difference in clinical outcome is mostly unknown. Discovering genes and pathways that would explain age-specific survival difference could generate opportunities for novel therapeutics for GBM. Here we have integrated gene expression, exon expression, microRNA expression, copy number alteration, SNP, whole exome sequence, and DNA methylation data sets of a cohort of GBM patients in The Cancer Genome Atlas (TCGA) project to discover age-specific signatures at the transcriptional, genetic, and epigenetic levels and validated our findings on the REMBRANDT data set. We found major age-specific signatures at all levels including age-specific hypermethylation in polycomb group protein target genes and the upregulation of angiogenesis-related genes in older GBMs. These age-specific differences in GBM, which are independent of molecular subtypes, may in part explain the preferential effects of anti-angiogenic agents in older GBM and pave the way to a better understanding of the unique biology and clinical behavior of older versus younger GBMs."
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0062809,Evidence Inhibition Responds Reactively to the Salience of Distracting Information during Focused Attention," Along with target amplification, distractor inhibition is regarded as a major contributor to selective attention. Some theories suggest that the strength of inhibitory processing is proportional to the salience of the distractor (i.e., inhibition reacts to the distractor intensity). Other theories suggest that the strength of inhibitory processing does not depend on the salience of the distractor (i.e., inhibition does not react to the distractor intensity). The present study aimed to elucidate the relationship between the intensity of a distractor and its subsequent inhibition during focused attention. A flanker task with a variable distractor-target stimulus-onset asynchrony (SOA) was used to measure both distractor interference and distractor inhibition. We manipulated the intensity of the distractor in two separate ways, by varying its distance from the target (Experiment 1) and by varying its brightness (Experiment 2). The results indicate that more intense distractors were associated with both increased interference and stronger distractor inhibition. The latter outcome provides novel support for the reactive inhibition hypothesis, which posits that inhibition reacts to the strength of distractor input, such that more salient distractors elicit stronger inhibition."
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0087874,Neonatal Encephalopathic Cerebral Injury in South India Assessed by Perinatal Magnetic Resonance Biomarkers and Early Childhood Neurodevelopmental Outcome," Although brain injury after neonatal encephalopathy has been characterised well in high-income countries, little is known about such injury in low- and middle-income countries. Such injury accounts for an estimated 1 million neonatal deaths per year. We used magnetic resonance (MR) biomarkers to characterise perinatal brain injury, and examined early childhood outcomes in South India. Methods We recruited consecutive term or near term infants with evidence of perinatal asphyxia and a Thompson encephalopathy score 6 within 6 of birth, over 6 months. We performed conventional MR imaging, diffusion tensor MR imaging and thalamic proton MR spectroscopy within 3 weeks of birth. We computed group-wise differences in white matter fractional anisotropy (FA) using tract based spatial statistics. We allocated Sarnat encephalopathy stage aged 3 days, and evaluated neurodevelopmental outcomes aged 3 years using Bayley III. Of the 54 neonates recruited, Sarnat staging was mild in 30 (56 ) moderate in 15 (28 ) and severe in 6 (11 ), with no encephalopathy in 3 (6 ). Six infants died. Of the 48 survivors, 44 had images available for analysis. In these infants, imaging indicated perinatal rather than established antenatal origins to injury. Abnormalities were frequently observed in white matter (n 40, 91 ) and cortex (n 31, 70 ) while only 12 (27 ) had abnormal basal ganglia thalami. Reduced white matter FA was associated with Sarnat stage, deep grey nuclear injury, and MR spectroscopy N-acetylaspartate choline, but not early Thompson scores. Outcome data were obtained in 44 infants (81 ) with 38 (79 ) survivors examined aged 3 years of these, 16 (42 ) had adverse neurodevelopmental outcomes. No infants had evidence for established brain lesions, suggesting potentially treatable perinatal origins. White matter injury was more common than deep brain nuclei injury. Our results support the need for rigorous evaluation of the efficacy of rescue hypothermic neuroprotection in low- and middle-income countries."
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0068398,Visuospatial Function in Early Alzheimer’s Disease—The Use of the Visual Object and Space Perception (VOSP) Battery," Alzheimer disease (AD) is the most frequent cause of dementia. The clinical symptoms of AD begin with impairment of memory and executive function followed by the gradual involvement of other functions, such as language, semantic knowledge, abstract thinking, attention, and visuospatial abilities. Visuospatial function involves the identification of a stimulus and its location and can be impaired at the beginning of AD. The Visual Object and Space Perception (VOSP) battery evaluates visuospatial function, while minimizing the interference of other cognitive functions. Objectives To evaluate visuospatial function in early AD patients using the VOSP and determine cutoff scores to differentiate between cognitively healthy individuals and AD patients. Methods Thirty-one patients with mild AD and forty-four healthy elderly were evaluated using a neuropsychological battery and the VOSP. In the VOSP, the AD patients performed more poorly in all subtests examining object perception and in two subtests examining space perception (Number Location and Cube Analysis). The VOSP showed good accuracy and good correlation with tests measuring visuospatial function. Visuospatial function is impaired in the early stages of AD. The VOSP battery is a sensitive battery test for visuospatial deficits with minimal interference by other cognitive functions."
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0062226,Antidepressant Treatment Outcome Depends on the Quality of the Living Environment: A Pre-Clinical Investigation in Mice," Antidepressants represent the standard treatment for major depression. However, their efficacy is variable and incomplete. A growing number of studies suggest that the environment plays a major role in determining the efficacy of these drugs, specifically of selective serotonin reuptake inhibitors (SSRI). A recent hypothesis posits that the increase in serotonin levels induced by SSRI may not affect mood per se, but enhances neural plasticity and, consequently, renders the individual more susceptible to the influence of the environment. Thus, SSRI administration in a favorable environment would lead to a reduction of symptoms, while in a stressful environment might lead to a worse prognosis. To test this hypothesis, we treated C57BL 6 adult male mice with chronic fluoxetine while exposing them to either an enriched environment, after exposure to a chronic stress period aimed at inducing a depression-like phenotype, or a stressful environment. Anhedonia, brain BDNF and circulating corticosterone levels, considered endophenotypes of depression, were investigated. Mice treated with fluoxetine in an enriched condition improved their depression-like phenotype compared to controls, displaying higher saccharin preference, higher brain BDNF levels and reduced corticosterone levels. By contrast, when chronic fluoxetine administration occurred in a stressful condition, mice showed a more distinct worsening of the depression-like profile, displaying a faster decrease of saccharin preference, lower brain BDNF levels and increased corticosterone levels. Our findings suggest that the effect of SSRI on depression-like phenotypes in mice is not determined by the drug per se but is induced by the drug and driven by the environment. These findings may be helpful to explain variable effects of SSRI found in clinical practice and to device strategies aimed at enhancing their efficacy by means of controlling environmental conditions."
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0100374,Reducing Specific Phobia/Fear in Young People with Autism Spectrum Disorders (ASDs) through a Virtual Reality Environment Intervention," Anxiety is common in children with autism spectrum disorders (ASD), with specific fears and phobias one of the most frequent subtypes. Specific fears and phobias can have a serious impact on young people with ASD and their families. In this study we developed and evaluated a unique treatment combining cognitive behaviour therapy (CBT) with graduated exposure in a virtual reality environment (VRE). Nine verbally fluent boys with an ASD diagnosis and no reported learning disability, aged 7 to 13 years old, were recruited. Each had anxiety around a specific situation (e.g. crowded buses) or stimulus (e.g. pigeons). An individualised scene was recreated in our wrap-around VRE. In the VRE participants were coached by a psychologist in cognitive and behavioural techniques (e.g. relaxation and breathing exercises) while the exposure to the phobia fear stimulus was gradually increased as the child felt ready. Each child received four 20 30 minute sessions. After participating in the study, eight of the nine children were able to tackle their phobia situation. Four of the participants completely overcame their phobia. Treatment effects were maintained at 12 months. These results provide evidence that CBT with VRE can be a highly effective treatment for specific phobia fear for some young people with ASD. Trial Registration Controlled-Trials.com ISRCTN58483069."
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0062673,No Behavioral or ERP Evidence for a Developmental Lag in Visual Working Memory Capacity or Filtering in Adolescents and Adults with ADHD," Attention-deficit hyperactivity disorder (ADHD) patients have both working memory (WM) and attention problems. Good attention skills are important for WM performance individuals have higher WM capacity when being able to prevent storage of irrelevant information through efficient filtering. Since it is unknown how filtering ability is associated with WM performance in ADHD, this was investigated in the present study. A visuospatial working memory (VSWM) change detection task with distracting stimuli was administered to adolescents (12 16 years old) and adults (20 46 years old) with and without ADHD matched on education IQ. Besides performance, contralateral delay activity (CDA) was measured a neural correlate of the number of targets and distracters encoded and maintained in WM during the retention interval. Performance data showed similar WM-load, WM-distracter interference and developmental effects in ADHD and control groups. Adolescents performance on the WM task deteriorated more than that of adults in the presence of distracters and with higher WM-load, irrespective of Diagnosis. The CDA data suggested that initially all groups encoded maintained distracting information, but only adults were able to bounce this information from memory later in the retention interval, leading to better WM performance. The only effect of Diagnosis was a smaller CDA in adolescents and adults with ADHD than in age IQ-matched controls when maintaining a low 1-item load, which was possibly related to an inability to keep attention focused at cued stimuli with low task demands. Overall, the development of filtering efficiency and VSWM storage capacity in adolescents with ADHD was not different from that in typically developing peers."
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0085084,Intimate Partner Violence and Pregnancy: A Systematic Review of Interventions," Intimate partner violence (IPV) around the time of pregnancy is a widespread global health problem with many negative consequences. Nevertheless, a lot remains unclear about which interventions are effective and might be adopted in the perinatal care context. Objective The objective is to provide a clear overview of the existing evidence on effectiveness of interventions for IPV around the time of pregnancy. Methods Following databases PubMed, Web of Science, CINAHL and the Cochrane Library were systematically searched and expanded by hand search. The search was limited to English peer-reviewed randomized controlled trials published from 2000 to 2013. This review includes all types of interventions aiming to reduce IPV around the time of pregnancy as a primary outcome, and as secondary outcomes to enhance physical and or mental health, quality of life, safety behavior, help seeking behavior, and or social support. We found few randomized controlled trials evaluating interventions for IPV around the time of pregnancy. Moreover, the nine studies identified did not produce strong evidence that certain interventions are effective. Nonetheless, home visitation programs and some multifaceted counseling interventions did produce promising results. Five studies reported a statistically significant decrease in physical, sexual and or psychological partner violence (odds ratios from 0.47 to 0.92). Limited evidence was found for improved mental health, less postnatal depression, improved quality of life, fewer subsequent miscarriages, and less low birth weight prematurity. None of the studies reported any evidence of a negative or harmful effect of the interventions. Strong evidence of effective interventions for IPV during the perinatal period is lacking, but some interventions show promising results. Additional large-scale, high-quality research is essential to provide further evidence about the effect of certain interventions and clarify which interventions should be adopted in the perinatal care context."
