document,binary,passive_match(es),raw_passive_count,raw_passive_sents_count,raw_sentence_count,passive_sents_percentage,cola_passive_binary
The sailors rode the breeze clear of the rocks.,0,[],0,0,1,0.0,0
The weights made the rope stretch over the pulley.,0,[],0,0,1,0.0,0
The mechanical doll wriggled itself loose.,0,[],0,0,1,0.0,0
"If you had eaten more, you would want less.",0,[],0,0,1,0.0,0
"As you eat the most, you want the least.",0,[],0,0,1,0.0,0
"The more you would want, the less you would eat.",0,[],0,0,1,0.0,0
"I demand that the more John eat, the more he pays.",0,[],0,0,1,0.0,0
"Mary listens to the Grateful Dead, she gets depressed.",0,[],0,0,1,0.0,0
"The angrier Mary got, the more she looked at pictures.",0,[],0,0,1,0.0,0
"The higher the stakes, the lower his expectations are.",0,[],0,0,1,0.0,0
"The more Fred is obnoxious, the less attention you should pay to him.",0,[],0,0,1,0.0,0
John was lots more obnoxious than Fred.,0,[],0,0,1,0.0,0
"The more people you give beer to, the more people get sick.",0,[],0,0,1,0.0,0
"The more does Bill smoke, the more Susan hates him.",0,[],0,0,1,0.0,0
"The more pictures of him that appear in the news, the more embarrassed John becomes.",0,[],0,0,1,0.0,0
"Every senator seems to become more corrupt, as he talks to more lobbyists.",0,[],0,0,1,0.0,0
Who does John visit Sally because he likes?,0,[],0,0,1,0.0,0
Marianne did not leave.,0,[],0,0,1,0.0,0
He could not have been working.,0,[],0,0,1,0.0,0
He can not have been working.,0,[],0,0,1,0.0,0
You will believe Bob.,0,[],0,0,1,0.0,0
John has not kissed Mary.,0,[],0,0,1,0.0,0
I said that never in my life had I seen a place like Bangor.,0,[],0,0,1,0.0,0
Mickey looked up it.,0,[],0,0,1,0.0,0
There tended to be a lot of discussion.,0,[],0,0,1,0.0,0
John tried to be a good boy.,0,[],0,0,1,0.0,0
John is eager.,0,[],0,0,1,0.0,0
We want John to win.,0,[],0,0,1,0.0,0
The box contained the ball from the tree.,0,[],0,0,1,0.0,0
The tube was escaped by gas.,1,['was escaped'],1,1,1,1.0,1
Water bubbled up out of the kettle.,0,[],0,0,1,0.0,0
The tub leaked water.,0,[],0,0,1,0.0,0
What the water did to the bottle was fill it.,0,[],0,0,1,0.0,0
What the water did to the whole bottle was fill it.,0,[],0,0,1,0.0,0
The tank leaked the fluid free.,0,[],0,0,1,0.0,0
John lay the ball in the box.,0,[],0,0,1,0.0,0
John owns the book.,0,[],0,0,1,0.0,0
We persuaded Mary to leave and Sue to stay.,0,[],0,0,1,0.0,0
