url,title,abstract_text
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0004589,Sleep Restriction Increases the Risk of Developing Cardiovascular Diseases by Augmenting Proinflammatory Responses through IL-17 and CRP," Sleep restriction, leading to deprivation of sleep, is common in modern 24-h societies and is associated with the development of health problems including cardiovascular diseases. Our objective was to investigate the immunological effects of prolonged sleep restriction and subsequent recovery sleep, by simulating a working week and following recovery weekend in a laboratory environment. After 2 baseline nights of 8 hours time in bed (TIB), 13 healthy young men had only 4 hours TIB per night for 5 nights, followed by 2 recovery nights with 8 hours TIB. 6 control subjects had 8 hours TIB per night throughout the experiment. Heart rate, blood pressure, salivary cortisol and serum C-reactive protein (CRP) were measured after the baseline (BL), sleep restriction (SR) and recovery (REC) period. Peripheral blood mononuclear cells (PBMC) were collected at these time points, counted and stimulated with PHA. Cell proliferation was analyzed by thymidine incorporation and cytokine production by ELISA and RT-PCR. CRP was increased after SR (145 of BL 0.05), and continued to increase after REC (231 of BL 0.05). Heart rate was increased after REC (108 of BL 0.05). The amount of circulating NK-cells decreased (65 of BL 0.005) and the amount of B-cells increased (121 of BL 0.005) after SR, but these cell numbers recovered almost completely during REC. Proliferation of stimulated PBMC increased after SR (233 of BL 0.05), accompanied by increased production of IL-1β (137 of BL 0.05), IL-6 (163 of BL 0.05) and IL-17 (138 of BL 0.05) at mRNA level. After REC, IL-17 was still increased at the protein level (119 of BL 0.05). 5 nights of sleep restriction increased lymphocyte activation and the production of proinflammatory cytokines including IL-1β IL-6 and IL-17 they remained elevated after 2 nights of recovery sleep, accompanied by increased heart rate and serum CRP, 2 important risk factors for cardiovascular diseases. Therefore, long-term sleep restriction may lead to persistent changes in the immune system and the increased production of IL-17 together with CRP may increase the risk of developing cardiovascular diseases."
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0016091,Comprehensive Small Animal Imaging Strategies on a Clinical 3 T Dedicated Head MR-Scanner; Adapted Methods and Sequence Protocols in CNS Pathologies," Small animal models of human diseases are an indispensable aspect of pre-clinical research. Being dynamic, most pathologies demand extensive longitudinal monitoring to understand disease mechanisms, drug efficacy and side effects. These considerations often demand the concomitant development of monitoring systems with sufficient temporal and spatial resolution. Methodology and This study attempts to configure and optimize a clinical 3 Tesla magnetic resonance scanner to facilitate imaging of small animal central nervous system pathologies. The hardware of the scanner was complemented by a custom-built, 4-channel phased array coil system. Extensive modification of standard sequence protocols was carried out based on tissue relaxometric calculations. Proton density differences between the gray and white matter of the rodent spinal cord along with transverse relaxation due to magnetic susceptibility differences at the cortex and striatum of both rats and mice demonstrated statistically significant differences. The employed parallel imaging reconstruction algorithms had distinct properties dependent on the sequence type and in the presence of the contrast agent. The attempt to morphologically phenotype a normal healthy rat brain in multiple planes delineated a number of anatomical regions, and all the clinically relevant sequels following acute cerebral ischemia could be adequately characterized. Changes in blood-brain-barrier permeability following ischemia-reperfusion were also apparent at a later time. Typical characteristics of intra-cerebral haemorrhage at acute and chronic stages were also visualized up to one month. Two models of rodent spinal cord injury were adequately characterized and closely mimicked the results of histological studies. In the employed rodent animal handling system a mouse model of glioblastoma was also studied with unequivocal results. The implemented customizations including extensive sequence protocol modifications resulted in images of high diagnostic quality. These results prove that lack of dedicated animal scanners shouldn discourage conventional small animal imaging studies."
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0087404,"Prenatal and Childhood Growth, and Hospitalization for Alcohol Use Disorders in Adulthood: The Helsinki Birth Cohort Study"," Small birth size - an indicator of a sub-optimal prenatal environment - and variation in growth after birth have been associated with non-communicable diseases in later life. We tested whether birth size or growth in childhood associated with the risk of hospital admission for alcohol use disorders (AUDs) from early to late adulthood. Methods The sample comprised 6544 men and 6050 women born between 1934 and 1944 in Helsinki, Finland. Data on anthropometric measures were extracted from medical records and diagnoses of AUD from the Finnish Hospital Discharge Register and Causes of Death Register covering a 40-year period from 1969 to 2008. Altogether 171 women (2.8 ) and 657 men (10.0 ) were diagnosed at a hospital with AUD. After adjusting for major confounders, shorter length at birth, shorter height up to two years of age, and lower weight at two years associated with hospitalization for AUD in women. In men, slower growth in height, particularly from 2 to 7 years, and slower weight gain from 7 to 11 years as well as shorter height and lower weight at 7 and 11 years associated with a diagnosis of AUD in men. Pre- and postnatal growth associates with the risk for AUD later in life differently in women than in men the fetal period and infancy seem to be the sensitive periods for women, whereas those for men the occur from toddlerhood onwards."
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0102557,Effect of Low-Frequency rTMS on Aphasia in Stroke Patients: A Meta-Analysis of Randomized Controlled Trials," Small clinical trials have reported that low-frequency repetitive transcranial magnetic stimulation (rTMS) might improve language recovery in patients with aphasia after stroke. However, no systematic reviews or meta-analyses studies have investigated the effect of rTMS on aphasia. The objective of this study was to perform a meta-analysis of studies that explored the effects of low-frequency rTMS on aphasia in stroke patients. Methods We searched PubMed, CENTRAL, Embase, CINAHL, ScienceDirect, and Journals Ovid for randomized controlled trials published between January 1965 and October 2013 using the keywords aphasia OR language disorders OR anomia OR linguistic disorders AND repetitive transcranial magnetic stimulation OR rTMS . We used fixed- and random-effects models to estimate the standardized mean difference (SMD) and a 95 CI for the language outcomes. Seven eligible studies involving 160 stroke patients were identified in this meta-analysis. A significant effect size of 1.26 was found for the language outcome severity of impairment (95 CI 0.80 to 1.71) without heterogeneity (I2 0 , P 0.44). Further analyses demonstrated prominent effects for the naming subtest (SMD 0.52, 95 CI 0.18 to 0.87), repetition (SMD 0.54, 95 CI 0.16 to 0.92), writing (SMD 0.70, 95 CI 0.19 to 1.22), and comprehension (the Token test SMD 0.58, 95 CI 0.07 to 1.09) without heterogeneity (I2 0 ). The SMD of AAT and BDAE comprehension subtests was 0.32 (95 CI 0.08 to 0.72) with moderate heterogeneity (I2 32 ,P 0.22). The effect size did not change significantly even when any one trial was eliminated. None of the patients from the 7 included articles reported adverse effects from rTMS. Low-frequency rTMS with a 90 resting motor threshold that targets the triangular part of the right inferior frontal gyrus (IFG) has a positive effect on language recovery in patients with aphasia following stroke. Further well-designed studies with larger populations are required to ascertain the long-term effects of rTMS in aphasia treatment."
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0238459,Factors associated with smartphone addiction: A comparative study between Japanese and Thai high school students," Smartphone addiction is a growing social problem with adverse health outcomes. There are few comparative studies in Asia that examine factors associated with smartphone addiction. The current study aimed to address this research gap by presenting a comparative analysis of factors associated with smartphone addiction in Japan and Thailand, two countries heterogeneous in both their level of economic development and culture. Methods Participant data were collected using two population-based surveys. Participants were high school students in grade 11, aged 16 17 years old, and were selected using quota sampling in Japan in 2014 and random sampling in Thailand in 2016. The outcome of interest was smartphone addiction, measured using a modified version of the Young Diagnostic Questionnaire for Internet Addiction. Multiple logistic regression analysis was performed to determine factors associated with smartphone addiction (gender nationality family connectedness and average time spent on smartphone per day). This study included a total of 7694 students, 6585 students from Japan and 1109 students from Thailand. The prevalence of smartphone addiction was 35.9 among Thai students and 12 among Japanese students. Thai students were more likely to have smartphone addiction than Japanese students (AOR 2.76 95 CI 2.37 3.30). Being female was associated with increased odds of smartphone addiction in both Japanese (AOR 1.53 95 CI 1.32 1.78) and Thai students (AOR 1.34 95 CI 1.01 1.78). The parental connectedness variables my parents noticed when I was unhappy (AOR 0.77 95 CI 0.62 0.96) and my parents noticed when I did something good (AOR 0.78, 95 CI 0.61 0.99) were associated with lower odds of smartphone addiction among Japanese students. Smartphone addiction was more prevalent among Thai adolescents than Japanese adolescents, and more prevalent among females than males in both countries. Interventions for reducing smartphone addiction should take into account both context and gender, and should leverage the protective effect of parental connectedness."
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0180094,Answering the missed call: Initial exploration of cognitive and electrophysiological changes associated with smartphone use and abuse," Smartphone usage is now integral to human behavior. Recent studies associate extensive usage with a range of debilitating effects. We sought to determine whether excessive usage is accompanied by measurable neural, cognitive and behavioral changes. Method Subjects lacking previous experience with smartphones (n 35) were compared to a matched group of heavy smartphone users (n 16) on numerous behavioral and electrophysiological measures recorded using electroencephalogram (EEG) combined with transcranial magnetic stimulation (TMS) over the right prefrontal cortex (rPFC). In a second longitudinal intervention, a randomly selected sample of the original non-users received smartphones for 3 months while the others served as controls. All measurements were repeated following this intervention. Heavy users showed increased impulsivity, hyperactivity and negative social concern. We also found reduced early TMS evoked potentials in the rPFC of this group, which correlated with severity of self-reported inattention problems. Heavy users also obtained lower accuracy rates than nonusers in a numerical processing. Critically, the second part of the experiment revealed that both the numerical processing and social cognition domains are causally linked to smartphone usage. Heavy usage was found to be associated with impaired attention, reduced numerical processing capacity, changes in social cognition, and reduced right prefrontal cortex (rPFC) excitability. Memory impairments were not detected. Novel usage over short period induced a significant reduction in numerical processing capacity and changes in social cognition."
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0200140,Association of current and former smoking with body mass index: A study of smoking discordant twin pairs from 21 twin cohorts," Smokers tend to weigh less than never smokers, while successful quitting leads to an increase in body weight. Because smokers and non-smokers may differ in genetic and environmental family background, we analysed data from twin pairs in which the co-twins differed by their smoking behaviour to evaluate if the association between smoking and body mass index (BMI) remains after controlling for family background. Methods and findings The international CODATwins database includes information on smoking and BMI measured between 1960 and 2012 from 156,593 twin individuals 18 69 years of age. Individual-based data (230,378 measurements) and data of smoking discordant twin pairs (altogether 30,014 pairwise measurements, 36 from monozygotic MZ pairs) were analysed with linear fixed-effects regression models by 10-year periods. In MZ pairs, the smoking co-twin had, on average, 0.57 kg m2 lower BMI in men (95 confidence interval (CI) 0.49, 0.70) and 0.65 kg m2 lower BMI in women (95 CI 0.52, 0.79) than the never smoking co-twin. Former smokers had 0.70 kg m2 higher BMI among men (95 CI 0.63, 0.78) and 0.62 kg m2 higher BMI among women (95 CI 0.51, 0.73) than their currently smoking MZ co-twins. Little difference in BMI was observed when comparing former smoking co-twins with their never smoking MZ co-twins (0.13 kg m2, 95 CI 0.04, 0.23 among men -0.04 kg m2, 95 CI -0.16, 0.09 among women). The associations were similar within dizygotic pairs and when analysing twins as individuals. The observed series of cross-sectional associations were independent of sex, age, and measurement decade. Smoking is associated with lower BMI and smoking cessation with higher BMI. However, the net effect of smoking and subsequent cessation on weight development appears to be minimal, i.e. never more than an average of 0.7 kg m2."
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0229411,mHealth smoking cessation intervention among high school students: 3-month primary outcome findings from a randomized controlled trial," Smoking among adolescents remains a global public health issue as youth continue to maintain high prevalence rates. The evidence for the efficacy of text messaging interventions to reduce smoking behavior is well established, yet there is still a need for studies targeting high school students. The aim of the study was to determine the effectiveness of a text-based smoking cessation intervention among high school students in Sweden. Methods The study was a two-arm randomized trial conducted from January 10 2018 to January 11 2019, data were analysed from April 12 2019 to May 21 2019. Inclusion criteria were high school students who were daily or weekly smokers willing to attempt to quit smoking and owned a mobile phone. The study invited all students at 630 high schools units throughout Sweden. The intervention group received text messages based on components of effective smoking cessation interventions for 12 weeks. The control group were offered treatment as usual. The primary outcomes were self-reported prolonged abstinence (not having smoked more than 5 cigarettes over the last 8 weeks) and 4-week point prevalence of smoking abstinence. Findings A total of 535 participants, with a median age of 17 (IQR 16 18), were randomized into the study 276 (164 59.4 women) were allocated to the intervention and 259 (162 62.5 women) to the control group. The outcomes of the trial were analyzed on a total of 212 (76.8 ) participants in the intervention group and 201 (77.6 ) participants in the control group. Prolonged abstinence at the 3-month follow-up was reported by 49 (23.1 ) individuals in the intervention group and 39 (19.4 ) individuals in the control group (adjusted OR, 1.21 95 CI, 0.73 2.01 P value, .46). Four-week point prevalence of complete smoking cessation was reported by 53 (25.0 ) individuals in the intervention group and 31 (15.4 ) individuals in the control group (adjusted OR, 1.87 95 CI, 1.12 3.17 P value, .018). Estimates of 4-week point prevalence of complete cessation was 10 percentage points higher in the group that were given access to the intervention compared to the control. Findings provide confirmation that text messaging-based smoking cessation programs can affect quit rates among adolescents. Trial registration ISRCTN15396225 registration date October 13, 2017, https trialsjournal.biomedcentral.com articles 10.1186 s13063-018-3028-2."
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0122276,"Personality, Perceived Environment, and Behavior Systems Related to Future Smoking Intentions among Youths: An Application of Problem-Behavior Theory in Shanghai, China"," Smoking among youths is a worldwide problem, particularly in China. Many endogenous and environmental factors influence smokers intentions to smoke therefore, a comprehensive model is needed to understand the significance and relationship of predictors. This study aimed to develop a prediction model based on problem-behavior theory (PBT) to interpret intentions to smoke among Chinese youths. Methods We conducted a cross-sectional study of 26,675 adolescents from junior, senior, and vocational high schools in Shanghai, China. Data on smoking status, smoking knowledge, attitude toward smoking, parents and peers smoking, and media exposure to smoking were collected from students. A structural equation model was used to assess the developed prediction model. The experimental smoking rate and current smoking rate among the students were 11.0 and 3 , respectively. Our constructed model showed an acceptable fit to the data (comparative fit index 0.987, root-mean-square error of approximation 0.034). Intention to smoke was predicted by perceived environment (β 0.455, P 0.001) system consisting of peer smoking (β 0.599, P 0.001), parent smoking (β 0.152, P 0.001), and media exposure to smoking (β 0.226, P 0.001), and behavior system (β 0.487, P 0.001) consisting of tobacco experimentation (β 0.663, P 0.001) and current smoking (β 0.755, P 0.001). Smoking intention was irrelevant for personality system in students (β -0.113, P 0.05) which consisted of acceptance of tobacco use (β 0.668, P 0.001) and academic performance (β 0.171, P 0.001). The PBT-based model we developed provides a good understanding of the predictors of intentions to smoke and it suggests future interventions among youths should focus on components in perceived environment and behavior systems, and take into account the moderating effects of personality system."
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0148563,Heavy Smoking Is More Strongly Associated with General Unhealthy Lifestyle than Obesity and Underweight," Smoking and obesity are major causes of non-communicable diseases. We investigated the associations of heavy smoking, obesity, and underweight with general lifestyle to infer which of these risk groups has the most unfavourable lifestyle. Methods We used data from the population-based cross-sectional Swiss Health Survey (5 rounds 1992 2012), comprising 85,575 individuals aged 18 years. Height, weight, smoking, diet, alcohol intake and physical activity were self-reported. Multinomial logistic regression was performed to analyse differences in lifestyle between the combinations of body mass index (BMI) category and smoking status. Compared to normal-weight never smokers (reference), individuals who were normal-weight, obese, or underweight and smoked heavily at the same time had a poorer general lifestyle. The lifestyle of obese and underweight never smokers differed less from reference. Regardless of BMI category, in heavy smoking men and women the fruit and vegetable consumption was lower (e.g. obese heavy smoking men relative risk ratio (RRR) 1.69 95 confidence interval 1.30 2.21 ) and high alcohol intake was more common (e.g. normal-weight heavy smoking women 5.51 3.71 8.20 ). In both sexes, physical inactivity was observed more often in heavy smokers and obese or underweight (e.g. underweight never smoking 1.29 1.08 1.54 and heavy smoking women 2.02 1.33 3.08 ). A decrease of smoking prevalence was observed over time in normal-weight, but not in obese individuals. Unhealthy general lifestyle was associated with both heavy smoking and BMI extremes, but we observed a stronger association for heavy smoking. Future smoking prevention measures should pay attention to improvement of general lifestyle and co-occurrence with obesity and underweight."
