Sentence,ID,Test,Cond,human_coding
The politics being discussed were causing scene.,A3ATU3VULAB7K2,2.0,2,1
The world of politics is quite fascinating.,A1CTJ8UT7SF317,1.0,1,0
I don usually participate in discussions about politics.,A327Q0Y175MEH7,1.0,1,0
The president was impeached before his second term.,A19TD2J8506A4Y,1.0,2,1
The President just gave speech about COVID relief.,A2DDXYTEVDV5F5,1.0,1,0
I wish the government was better.,AJ9O2ZA0E8UDZ,2.0,2,0
Sanders fights for the working class.,AYXXMHLZRAPF9,1.0,1,0
Politics is topic for the commoners.,A3M0L33TPD346S,1.0,1,0
The passage of the bill was interrupted by politics.,A33GB614ST7J82,1.0,2,1
The Democratic candidate won the election by landslide., COPIEDAKHKMEPXX1YZ9,2.0,1,0
The House passed the bill with bipartisan support.,A23273YME4RCEB,1.0,1,0
Politics was the focus of her television viewing.,A3O4WYGKH31OX,1.0,2,0
"A dangerous game, politics sometimes is.",A3NLSGHK6RFXA8,1.0,2,0
Donald Trump destroyed the Republican Party.,AOJF7CPZVK5U3,1.0,1,0
An interesting election had occured.,A154ZJKRSX6847,1.0,2,1
Politics is believed to be unimportant by number of Americans.,A3FXVNZ5VG98IP,1.0,2,1
I am stunned at the impact politics is having on our country these days.,AYXN53TNFG71P,1.0,1,0
The president was elected last week. ,AMUKX1DM4ASA7,1.0,2,1
Politics is hot topic issue for many Americans.,AFE7E450NETF2,1.0,1,0
POLITICS DRIVE EVERYONE CRAZY.,A2DLZ9PK82J8L2,1.0,1,0
Politics is den of snakes. ,ARON01UO1YK7I,2.0,2,0
I was happy to vote. ,A3RNGN5WLE1OBU,1.0,1,0
The past President did not do so well.,A1ZZETG57T5D5X,2.0,2,0
Politics is very messy,A2Z75NJBZ46RE9,1.0,1,0
American politics was ruined by Donald Trump.,A1CI5U3BLQ2DDS,1.0,2,1
 Politics is the art of the possible. ,A1CI5U3BLQ2DDS ,1.0,1,0
He voted for the Democratic candidate. ,ATSNZCC16HIOI,1.0,1,0
I want to see the best politics from the Democratic Party ,A1SWGSFIMZJQE,2.0,2,0
Politics can can cause discomfort in some people. ,A33UZLF8WW0DV1,2.0,2,0
The Trump regime is far from over.,A39GP79ULCP9J2,1.0,1,0
Politics is contentious.,A2X5BYJKVKSYQQ,1.0,1,0
I once voted in local election ,A12S5JDG2D5HEW,2.0,2,0
I vote because it is my right.,A1FAQI8VXLAMBM,2.0,1,0
The race was won by President Trump.,A3P1QF00PF2DF9,1.0,2,1
I am watching this politician lie right now ,A16ZLWV0QUJP65,2.0,1,0
Joe Biden signed the stimulus bill.,AOJD8D9NXVAR3,1.0,1,0
Politics have become senseless.,A1ZLWV0QUJP65,2.0,2,1
Trump is the worst president of all time. ,AAL5LUI5U3NAV,1.0,1,0
I do not know much about my country politics. ,A1TK1M16KJJKEO,1.0,2,0
I went to the political rally,A79XOBCSS4NTG,1.0,1,0
Politics is difficult career.,A2O3IWIVOZD4S7,1.0,1,0
Politics are very controversial.,A2SVKAI2PNTS79,2.0,2,0
"The people voted for the President,",A2O3IWIVOZD4S7,1.0,1,0
The country was shown lot of problems with politics,A2VNR6984SDFGQ,1.0,2,1
The voters were important in deciding the election. ,A3CLBF224TRYC9,1.0,2,0
The man read about politics in his local newspaper.,A8TLS2F8LFQ68,1.0,1,0
Liberal politics are out of control. ,AIJPLVW0ULYTH,2.0,1,0
Most politicians seem to only be in it for themselves.,A3CX0LXFHZ6I3I,1.0,2,0
Getting involved in politics is easy.,A2LEBJWW395FST,1.0,1,0
The ballots were clearly marked on Election Day.,AFTSLCMJASJDR,1.0,2,1
He had no interest in politics,AA0EJ752F121Q,2.0,2,0
Politics often threatens family gatherings that would otherwise be fun.,A2VN0R4EGGV7KE,2.0,1,0
I went and voted today.,AJKA9BKC011F2,2.0,1,0
The politics pay big role.,A2X823PACMMOKP,1.0,1,0
The mayor in the politicians office was corrupted. ,ALG1XBLARJ545,1.0,2,1
The Republicans were defeated by the Democrats in the last US Presidential election.,A2SKOPFTRTNFUY,1.0,2,1
Citizens were impacted by the president choices.,A347NXF6NQGM5G,1.0,2,1
A person politics make up their personality.,AFRKVRPZ2RHY8,1.0,2,0
I am campaigning for cause that supports Republican Politics.,A2OZKKX2O0YTLD,2.0,1,0
Trump yelled at the heckler ,A240OTT1T85UGT,1.0,1,0
The family would have heated political arguments after dinner. ,A55E4CZQLYYO3,2.0,2,0
The debate tonight was heated ,A3QNSOORS63W0D,2.0,1,0
Politics requires suffering.,A63XZD0XGIMAI,1.0,1,0
There were not enough votes to elect him.,A2ONKY3JGB34T3,1.0,2,1
Joe Biden toured the country when he ran for President.,AOJD8D9NXVAR3,1.0,1,0
Politics ruins society.,A33B85TN97HQ33,1.0,1,0
Donald Trump got beat by Joe Biden in the 2020 Elections.,A3J72C0SIACZBS,1.0,2,1
An error was made in the tabulation of votes.,AW3PWVBIGPNAA,1.0,2,1
Politics are very complicated.,AC95JAUAM2L2Z,1.0,1,0
Abortion is sensitive topic for many people.,AFE7E450NETF2,1.0,2,0
I am into politics,AXR1QGU4KTMSZ,1.0,1,0
The politician was impeached for extreme corruption.,COPIEDAKHKMEPXX1YZ9,2.0,2,1
I don want to write anything about politics ,AOZBPO12UMPUY,1.0,1,0
Politics is in every workplace .,A1JSPB0XCFUUG1,2.0,1,0
The president was elected that night.,A2VAG94W4SK18C,1.0,2,1
Politics can be stressful to be involved in. ,A2GIT09BQEUM9M,,1,0
Politics are product of systems.,A162CO8K267FU8,1.0,2,0
I do not like Donal Trump.,A3S9ASZKIIJ3WF,2.0,1,0
Politics help society function.,A3JUAN2Y9XTK5L,2.0,1,0
I wish there had been different candidates running for President in the election.,A23FK9ROU01U4D,2.0,2,1
The nation is arguing over politics,A79XOBCSS4NTG,1.0,2,0
The president did not want to concede the ellection.,AU34Y1DWWQ47O,1.0,1,0
i liked politics,A2TWX0MB777CAB,2.0,2,0
Politics are slipper slope.,A1HYNGG8LZUV47,2.0,1,0
Politics never interested me growing up.,AQDBBBTN8NE9X,2.0,2,1
Politics would have to be considered.,A36G7I51D5O1M4,2.0,2,1
The President signed the bill into law today.,COPIEDAPV3GK8ZEXB0J,1.0,1,0
I avoid talking about politics.,A38LW34F26WBJY,1.0,1,0
My favorite candidate is Joe Biden,A35TZ4YGDSXSEC,1.0,1,0
The American people were misled by the government message.,A37CSK5QI41636,1.0,2,1
I feel like all they talk about is the politics on the news. ,ACIWLS3IQPV1J,2.0,1,0
My dad went to vote while I stayed in the car.,A1N274L13ZKKI5,1.0,2,0
Politics play major role in the formation of opinions.,A3NG205QJ48IM4,1.0,1,0
I did vote in the last election.,A2I6YPPQK6BU09,1.0,1,0
If I bring up politics at dinner I ll surely start fight.,A1H4MYPDJ2K3VI,2.0,1,0
Joe Biden was elected as the next president. ,A15B294KHVGPFV,1.0,2,1
I really hate Republican s,A3774HPOUKYTX7,1.0,1,0
Politics can be stressful topic.,ARTARDCXLJ5H6,2.0,2,0
The taxes are low for education.,A2RCUR9HJ9D0UQ,1.0,2,0
I spoke with my friend about the political race.,AO9AKYPPGGGZ4,2.0,1,0
I am so tired of politics,ADIW4L4IGU98R,1.0,1,0
Jane plays games in politics by running for office under an independent party name.,A34IZFOSHOZ4GN,1.0,1,0
I voted in the last election. ,A11ILN5YSUDVG8,1.0,1,0
A rally was held for Biden by the Democratic party before the election. ,A13CFYL1AW272Y,1.0,2,1
The state health department was affected negatively by the Governor vote to cut funding.,AAFM5PPF9P0W,1.0,2,1
Bill Clinton slept with his intern Monika Lewinsky. ,A20P819KPQWCK0,1.0,1,0
Politics tends to go into one ear and out of the other.,A2OKJSKQFMCZTP,1.0,2,0
The new mayor seems to not know anything about politics.,AM0FRMVODTMXA,1.0,1,0
I enjoy watching politics on tv. ,A2WSYQ5TS09U1,1.0,1,0
Marisha votes for the Democratic Party. ,A1FAQI8VXLAMBM,2.0,1,0
Politics are always on the television.,A3C9B757QTE20C,2.0,1,0
Politics can be complicated,AK70USZXEJSF3,2.0,2,0
I very active in politics.,A3BWZ6V34W8SXX,2.0,1,0
People often talk about how political discourse was more civil in the past. ,A3U6RDG7BLH6YZ,2.0,1,0
Some politicians are not to be trusted.,A2HUWXLMG214BI,2.0,2,1
